"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"R1OAZUG90XPU2U",5,250,274,"N","Y"
"R23VPTUJ8I8NR5",1,28,30,"N","Y"
"R6SRJFJ5YH4UM",5,23,26,"N","Y"
"R3DOS07BIMP4DJ",2,32,42,"N","N"
"R30PGWX4HN1CFG",1,85,95,"N","Y"
"R2XASGYIENUHQO",5,28,32,"N","Y"
"R34UQPQCTSKQK9",5,23,26,"N","Y"
"R2M6WNM2OZZHKS",1,20,22,"N","N"
"RO6JNMUJDE1LP",5,37,50,"N","N"
"R1WNL4OIMSKDBR",5,35,36,"N","Y"
"RDGWZ3U8LQZE6",2,48,54,"N","Y"
"R3HFIKVOUDHT4I",3,64,67,"N","N"
"R22M0N2OZSICN",5,21,23,"N","Y"
"R1E43139TRHB5T",5,22,22,"N","Y"
"R1L40ST6C2UJHK",5,262,272,"N","Y"
"R1XISUX6DDSXKZ",5,37,41,"N","Y"
"R35MWO8UIXOA37",1,20,22,"N","Y"
"R1RZ0G02ASP7SF",2,35,43,"N","Y"
"R10HZ77HAWVJH6",5,19,22,"N","Y"
"R1PI04EDGLLCXV",5,25,28,"N","Y"
"R2CKM4BRE79W1B",2,70,96,"N","Y"
"R2XXKLMI3W0779",4,61,67,"N","Y"
"RY9RL6OLZV7XN",1,26,28,"N","Y"
"R1WW87WR04M6LV",2,24,24,"N","Y"
"RG4A5ZFTHL9X8",5,28,30,"N","Y"
"RC8DUD0CM4PDJ",1,25,28,"N","Y"
"R33287UHHOJ6SQ",1,26,32,"N","N"
"RL680JDK7VOD7",1,28,31,"N","Y"
"R2MVRCFKC2GKG4",5,28,28,"N","Y"
"R3VK3W9UP098PP",3,29,32,"N","Y"
"R3QICY7KJUJIBW",1,11,21,"N","Y"
"R7MDYP32GDPBX",5,60,64,"N","Y"
"R1N3U8G0L31A98",1,125,140,"N","N"
"R34N5FNBCGD7YH",4,36,38,"N","Y"
"R246OPAO18SCRZ",1,36,41,"N","Y"
"R3MSF2NRYO00TV",1,106,108,"N","Y"
"R10T8NW8DRTPFP",1,25,28,"N","Y"
"RS39PFYM79NLU",2,32,39,"N","Y"
"R2NJ5EP45U92K7",1,18,21,"N","Y"
"R3R743ETE900K4",5,24,27,"N","Y"
"R3I07R2CC1FY4",5,28,32,"N","Y"
"R2CLNGRT2TN0AJ",1,51,59,"N","N"
"R22Y7DVFLP9B73",2,44,51,"N","Y"
"R25EM9SPKACM1H",5,21,21,"N","Y"
"R3QAKXW0WU8XU6",5,20,20,"N","Y"
"R3J43M40L58BCS",5,53,55,"N","Y"
"R29Z57GPMZPI9Q",5,115,131,"N","Y"
"R1Z6XR9EKRMH24",3,22,29,"N","Y"
"R3V4P4HBVVIZNV",2,25,33,"N","Y"
"R2FESFNN6NYVS8",5,29,30,"N","Y"
"R288TLAW3KRU2S",5,64,72,"N","Y"
"R1KQYDBMNMQ9F7",1,11,22,"N","Y"
"R2KPP5AFHFT4HS",5,19,20,"N","Y"
"R2C3JCSM04HIW8",5,23,25,"N","Y"
"R1UBMDPSYC6P7E",2,56,60,"N","Y"
"R2TAQ2RXOYAODL",5,57,58,"N","Y"
"R16FT1THCAPTC1",1,121,144,"N","Y"
"R3C526KWP7QLSP",1,28,39,"N","Y"
"R6XOKEMROZJBX",5,265,274,"N","Y"
"R3QKWFGQRTISBT",2,17,21,"N","Y"
"R37P5VOLJS56N0",3,26,29,"N","Y"
"RJ0D4E1OOK1BN",1,37,38,"N","Y"
"RLWMGVI596EDM",5,18,20,"N","Y"
"R1MZ48ZBF9BRRG",1,95,113,"N","Y"
"RYG3STXBBKD6M",5,103,117,"N","Y"
"R2KU03SH99D19S",5,21,21,"N","Y"
"R2B7NFD6ZOO7PT",5,42,45,"N","Y"
"R2DM6KRUA0QFQN",5,32,34,"N","Y"
"R3QQ3XB5RJCHKG",1,25,29,"N","Y"
"R1S9PUW8STNTY7",1,38,44,"N","Y"
"R2BKK1FF5WXQ08",5,40,41,"N","Y"
"R1XGR6MKLHLE2O",1,19,24,"N","Y"
"RJLRDDGZJKX6Y",1,33,37,"N","Y"
"R7QSRKJKZUJ7V",1,57,61,"N","Y"
"R3JC4MEOAZUXKG",1,27,37,"N","Y"
"RRV7RPAVBDNTZ",5,21,23,"N","Y"
"R3HXCKL6B0GEVC",5,28,32,"N","N"
"R3DQG5BWX7R2ML",3,48,51,"N","N"
"R2FHMRRXVOJFR",5,591,715,"N","Y"
"R2OZI0EHRUUN6J",2,95,101,"N","N"
"R2J58823I2GLBY",5,35,36,"N","Y"
"R1UXY5PIUTIL3G",1,29,35,"N","N"
"R2D5C4CHXQZ6R1",4,18,20,"N","Y"
"R2SW44ZDA9L3JS",5,24,28,"N","Y"
"R3K55WOG5B7F5H",3,47,50,"N","Y"
"R1EYS0UJE69ZU8",5,31,31,"N","Y"
"RTMD2UF1DINVU",5,24,27,"N","N"
"R2OJFMQGIWB64Y",3,24,28,"N","Y"
"R2ZPUJI2PQZ7OQ",5,28,30,"N","N"
"RWW8LBQWXENJ9",1,17,25,"N","N"
"R1KPPIE54KEN1N",5,38,39,"N","Y"
"R19SYNQFF4THSF",5,62,63,"N","Y"
"R3PTSKDKOTC3ID",1,18,29,"N","Y"
"R2XW8Q9YPD3S9A",5,43,46,"N","Y"
"R3OI7FSV2A9LTE",5,21,26,"N","Y"
"R12XSVESTSAXJR",5,27,32,"N","Y"
"RSJNV8DUR86JX",4,32,36,"N","Y"
"R1YBIKZK08B8KB",1,1377,1463,"N","Y"
"RCYEWW4KK04C2",1,39,42,"N","Y"
"R2KBQIJXWXTU9U",1,24,28,"N","Y"
"R3387FAHG8PP9B",1,38,41,"N","Y"
"R9UW56H8OUWC5",5,21,22,"N","N"
"R2SONLU0GU3O20",4,27,32,"N","N"
"R3KG435QJRDPB1",5,23,26,"N","Y"
"R2341A3WB1NIE0",5,15,23,"N","Y"
"R2C9W1K6Y28LE8",1,22,22,"N","Y"
"R2DQ0RRGKF3OVJ",5,60,60,"N","Y"
"R2DUSSQJ983HNB",1,20,27,"N","Y"
"R2OTFYVOCKUR9I",1,79,113,"N","N"
"R2PTZ0S41CVSYW",1,26,27,"N","N"
"R1AXZBPALID73E",4,30,30,"N","Y"
"R2WQB2LD004V5A",5,61,64,"N","N"
"R28SD90XU3PW8D",2,19,25,"N","Y"
"REJA93HHYFP40",5,30,30,"N","Y"
"R3K0QA157KFLPR",3,24,28,"N","Y"
"R31AM7UU9JKLM6",2,24,26,"N","N"
"R3O8KSWS086KXP",4,78,81,"N","Y"
"RH7GSSULP4A0O",1,41,54,"N","Y"
"R2XS6LOLT6EM7F",1,47,52,"N","Y"
"R2KXXXU1WHO4KM",5,50,54,"N","Y"
"R2C8ZF6L6FGVTT",3,19,20,"N","Y"
"RCGAV2RNIFINP",1,21,22,"N","N"
"R2TKASIM7SIUDT",5,23,25,"N","Y"
"R2NW3NBBPPKNZ7",5,19,20,"N","Y"
"R2123EOOE07MXG",5,20,20,"N","Y"
"R1I4IJDBPTDQ64",1,34,38,"N","N"
"R26G9QFBWFNGUK",1,38,45,"N","Y"
"R1KH968T354SMO",1,24,25,"N","Y"
"R2W12P25VKFJRA",1,18,20,"N","Y"
"R10JHJ0XU4ZEUV",2,185,215,"N","N"
"R3BD6HXFXCHFNR",3,26,27,"N","Y"
"R1LHF4GRISQWWQ",3,18,21,"N","N"
"R27OI9CCKLGGK6",1,78,81,"N","Y"
"R1Y557PDUTR4F4",5,25,26,"N","Y"
"RE4RTXM7XQE9B",5,159,169,"N","N"
"RLRHQO4HY5BP6",5,33,37,"N","Y"
"R2XGMLS28HX7LJ",5,17,20,"N","Y"
"R31Y707GC69FOS",5,22,23,"N","Y"
"R18Y0AKP78DCS3",3,46,46,"N","Y"
"R1LK7IH7IZ890",2,24,31,"N","N"
"R2PW2IAT0C9RKT",5,267,296,"N","Y"
"R16VA0SM2979M6",1,575,671,"N","N"
"R2O4VPCTB2OXHI",5,51,51,"N","Y"
"RKU671BNL1LVN",1,41,47,"N","Y"
"R19MUUF1D3GWWJ",4,43,51,"N","Y"
"R3EQAM3BUUO3R7",2,39,47,"N","Y"
"R19CYLRPHWHLIC",5,30,31,"N","Y"
"R3MMAE2QZI3YKH",1,27,30,"N","Y"
"RFTVVZ7FPFMGX",5,57,70,"N","Y"
"R2HWQLF00YTKH4",1,19,21,"N","N"
"R2F71CGY3DADX6",2,104,145,"N","N"
"R287AD5ZANJLZ0",5,28,32,"N","Y"
"R3D5SUGLVQDSLO",3,19,23,"N","Y"
"R1NNJ2TOBJEYPH",2,23,26,"N","Y"
"R1N0EF8D691Z32",1,19,21,"N","Y"
"R1NKOSAWZHPPIW",5,22,22,"N","Y"
"R2EJ4AM2HRKR41",5,24,26,"N","Y"
"R3HMFY5GGXQDDT",5,284,319,"N","Y"
"R9Z15UVIYZPLG",5,28,29,"N","Y"
"R1PHNNQH0JQ2YQ",5,57,58,"N","Y"
"R1NK9KOQ9Y0VWC",1,11,20,"N","Y"
"R33VYWK4VRVO7G",1,18,24,"N","Y"
"R339W383VD15W1",3,23,23,"N","Y"
"R294YPIYEM12F2",5,18,20,"N","Y"
"R30EIGB7CX826L",1,20,21,"N","Y"
"RSU3KBBXYLS2S",5,352,355,"N","Y"
"R20CGKXBVBMKMN",1,22,28,"N","N"
"RNI0FE0P3D2O8",5,23,24,"N","Y"
"R2YORO1K403JH6",5,51,55,"N","Y"
"R13A2KPVCFMSS1",4,46,49,"N","Y"
"RFO270K4M1LPJ",4,50,52,"N","Y"
"R1BCIX0YV9U8ZX",4,50,59,"N","Y"
"R3BQ48KJIWY9V3",5,36,40,"N","N"
"RN8HWQK6HB62B",5,23,26,"N","Y"
"RDUAC88K9TH78",3,20,20,"N","Y"
"R4KN0CSSTT6AN",5,18,23,"N","Y"
"R34OOEZIETXH85",5,19,21,"N","Y"
"R2BANHX2QZ983M",5,35,37,"N","Y"
"R31L3R8YQRRBIW",5,20,21,"N","Y"
"R2P0UF4C1RPBYL",5,14,20,"N","N"
"R2NJ8WJPWYUVI9",5,46,51,"N","N"
"R2LCWF4Q1HRNTZ",1,22,28,"N","Y"
"R8BN5YXN53ZUC",5,16,21,"N","N"
"R2B5SINKS8X0NW",3,21,23,"N","Y"
"R1IKS0P6NQ83MW",4,22,25,"N","Y"
"R3HOCYHFBTTM6J",1,27,27,"N","Y"
"R18WHE5ZFN2DML",5,167,169,"N","Y"
"R301WNXT7BFWGW",1,25,30,"N","N"
"R2M3LUH66UND3P",5,18,20,"N","Y"
"R1JJ2P0Z6YP21Q",5,79,82,"N","Y"
"R1PK5QW2QT58ZR",5,17,20,"N","Y"
"R3E1VE86M96GS8",3,17,26,"N","Y"
"R1SKQ5HNK3IN5P",5,45,53,"N","Y"
"RL9Z40DGVF7NH",1,19,21,"N","Y"
"R2QURBSJB18YBL",1,49,54,"N","Y"
"R3REOQ05AL7PCB",5,13,20,"N","N"
"RBVZ0B4I7QBWV",1,16,27,"N","Y"
"RYDGLQPWKDNCD",5,25,25,"N","Y"
"R3G1V9BDS5SSRP",5,30,39,"N","Y"
"R16N6U292DD89L",5,21,22,"N","Y"
"R2AZWJIFPJI68D",4,25,29,"N","Y"
"R2U88SPCJ5TIKI",5,18,21,"N","Y"
"R3IEUGW6S9VTVS",5,31,37,"N","N"
"R2OYUSVVYUHYHK",1,30,30,"N","N"
"R1WLUYDPYJV39Y",4,36,38,"N","N"
"R3F2FYM9EPBMRG",5,30,30,"N","Y"
"R38R8MV8KGE5AF",5,40,48,"N","Y"
"R30PGFBCUHCPJ",5,53,55,"N","Y"
"R2ZI3Y5YGMTW5Z",5,35,43,"N","Y"
"R1XWDHY4WYXJXV",5,44,48,"N","N"
"R19VM9VKCRF3HP",1,26,30,"N","N"
"R2GKML314OYD25",1,22,24,"N","Y"
"R14DPK82SBDLGA",1,25,27,"N","N"
"RZYICE2UIYU0P",2,34,47,"N","N"
"RF716D56568IL",1,15,29,"N","Y"
"R2B54LBFJN6AZK",5,30,35,"N","N"
"R306HNFREZVDKC",2,24,28,"N","Y"
"R2KRP6APZLI3K7",5,32,38,"N","N"
"R1WCV6UZ2J7BA",3,28,39,"N","Y"
"R132O2JF8BYMZD",5,33,40,"N","N"
"R2FI6Z980C0Z95",5,110,118,"N","Y"
"R1R7DV7XRLF0J7",5,79,79,"N","Y"
"R1FRW9X3JTYNK0",5,24,25,"N","N"
"R25WP46XA1EUQS",5,24,27,"N","Y"
"R3MIVS6YBU7593",5,22,22,"N","Y"
"R2HST2MLGX1H8F",1,111,126,"N","Y"
"R10RJOG2Q9LR4G",5,47,53,"N","Y"
"R1JFJLJT5OH3YA",3,23,23,"N","Y"
"R1CIVZEC1XI33A",1,42,47,"N","Y"
"R1AULMUYN8GQVQ",5,19,20,"N","Y"
"R1NMLGTGP24IH0",4,20,28,"N","Y"
"R2IJ0YYYXFT6VL",4,18,21,"N","Y"
"R1XDR4H9OB4ARU",5,34,34,"N","Y"
"R3TFD2KSSQGA21",5,52,55,"N","N"
"R12CSEJICYX6ZY",1,10,20,"N","Y"
"R3GKO0FTGFF494",4,36,42,"N","N"
"R2OEOFYHKW9TUJ",2,19,20,"N","Y"
"R2H2137NRKD18V",5,30,33,"N","Y"
"R3SGHKAUGKRBMF",5,22,22,"N","Y"
"R93UR0SKCSQXO",5,51,54,"N","N"
"R10THIVDF5NQLJ",2,32,42,"N","N"
"R22X1LKOJ3WIBJ",1,27,29,"N","N"
"RBCKC3EO1CLD9",1,18,35,"N","N"
"R1OHKIP7129Y0U",5,22,23,"N","N"
"RYDDMW4096CXR",5,21,24,"N","Y"
"R2K7QYJBYTLMLS",5,16,21,"N","N"
"R2YIMNEF9V02CH",5,26,26,"N","Y"
"R1WMG8TN91D2RW",1,20,21,"N","Y"
"R3Q3SVO1QK0S17",5,28,28,"N","Y"
"R28TH5KU2V68ED",1,18,24,"N","N"
"RJIKQ591CXP9V",4,30,40,"N","N"
"R1IZFGBACNL0G4",1,70,75,"N","N"
"R3RH23XE8NCPRE",5,29,39,"N","Y"
"R2L97TVFJCUKFJ",3,46,54,"N","Y"
"R9V5QSWKCTRTO",5,24,30,"N","N"
"R2PCVO2H72E1XI",1,57,58,"N","Y"
"R2EH20ZLR19HEX",1,80,81,"N","N"
"R388JLJBIBTJ0W",5,23,25,"N","Y"
"R3RDCD1595JVSD",5,27,27,"N","Y"
"R1Q2HDQ9946E0N",5,49,49,"N","Y"
"RTP89A8DG1CB4",1,22,36,"N","N"
"R3CXBLVDTCECRJ",5,93,95,"N","Y"
"R2TO5KMQ1EZ8T0",5,18,20,"N","N"
"R16X3ZKPCPG8T9",1,310,360,"N","N"
"R3MILT6SRSGP0N",5,23,24,"N","Y"
"R2ZVR7H6UFI403",1,49,53,"N","Y"
"R37CQ1MYC7CEQP",1,21,22,"N","Y"
"RYI7THKJO1EXA",3,209,234,"N","Y"
"R19W2G7TZGVCV0",1,21,22,"N","Y"
"R1S29VQPLWFNKX",3,21,25,"N","N"
"R30LRHFKLF5EGE",4,21,21,"N","Y"
"R2ZHS8EX88SCXX",1,32,34,"N","N"
"R3PFHER8NKIIB2",1,39,49,"N","Y"
"R3VZ6H6FP9UOPE",1,25,27,"N","Y"
"RUKDG6OJYU62N",5,87,96,"N","Y"
"R15LFO52OBKAIW",5,112,120,"N","Y"
"R2ZFYYONE1DKPZ",5,21,26,"N","N"
"RB2ZDMKK2I14R",5,28,28,"N","Y"
"R2WIQC3ZW7J5JW",1,19,20,"N","Y"
"RCXK3ABRN4IZU",5,26,29,"N","Y"
"R20RMXKNMJGXEB",5,90,110,"N","Y"
"R1TBBSQJUYYMFX",2,25,31,"N","Y"
"R2KUKQQ5WIVWKC",1,23,32,"N","N"
"R3L75F7ZKFRAB6",5,23,28,"N","N"
"R3M5X2W9G3I6U2",2,22,22,"N","Y"
"R2L9M40GYU7DFL",5,22,22,"N","Y"
"RBSFGSIBDYYIH",5,233,303,"N","N"
"R1D0JMRO2Y3TL1",3,28,31,"N","Y"
"R3EOBNM0YXF7LE",5,36,37,"N","Y"
"R3DX2GUW5NP8KM",2,18,20,"N","Y"
"R24M17EDWWOGQY",2,105,124,"N","Y"
"R2MAGNI9HAPFC6",5,61,65,"N","Y"
"R29LTRF2EYW1B8",1,20,22,"N","Y"
"R2IAY82WKUIA45",5,20,20,"N","N"
"R1M86RJPI205YP",5,24,26,"N","Y"
"R1K3E3SVXHTDDU",4,23,24,"N","Y"
"R3Q7NEHR7PJKJH",5,29,30,"N","Y"
"RBH0E3T8JJIL1",3,53,57,"N","Y"
"R33OCD3D63HOJA",5,21,24,"N","Y"
