"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"R3MKO875WGIEBJ",5,34,37,"Y","N"
"R3OPNTK61FQ7MP",5,32,37,"Y","N"
"RMDRU8I773X5U",4,22,25,"Y","N"
"RR83RGWFEFZCL",3,61,64,"Y","N"
"R2TMZ7GV8SPIRV",4,23,23,"Y","N"
"RX88JLUIFA4Q2",4,84,87,"Y","Y"
"RV3AHTDRHDH7R",5,253,258,"Y","N"
"R9SNSQTK4TJOG",2,11,20,"Y","N"
"R13EGJI8C8YJ4Y",5,19,20,"Y","N"
"R1A76AK493C8P8",5,83,90,"Y","N"
"R3LOTAAVOZ9D1L",3,19,26,"Y","N"
"R1BRN47DX8UXA7",5,154,159,"Y","N"
"R13CEXESMDKT3D",3,33,36,"Y","N"
"RZP9LBF95AEHO",3,56,58,"Y","N"
"R1OM89J7BP8MUZ",1,23,29,"Y","N"
"R2BDT05RK7TOJ9",5,21,22,"Y","N"
"R3V9P61EYXDNRV",5,51,54,"Y","N"
"R2PFVGR88KV91R",2,16,23,"Y","N"
"R3BV8N52HPNJJM",4,18,20,"Y","N"
"R1S9CD7RIIIBR3",5,30,33,"Y","N"
"R2GOJRL2PW4JNM",4,24,30,"Y","N"
"R1YXAF0GV7XW2V",2,24,28,"Y","N"
"RZQVEYXN3YD1K",3,24,30,"Y","N"
"R12KK9CCWDZZO9",3,27,34,"Y","N"
"R2468B29TH95KN",1,205,224,"Y","N"
"R1EU4X7W4JG1S4",2,52,69,"Y","N"
"R2EOSZN3YYDV6L",4,27,31,"Y","N"
"R1Z3FR74KGWNAI",5,19,20,"Y","N"
"R75XNS8UCQIFK",5,29,31,"Y","N"
"R3T8DD3256BCCL",3,89,91,"Y","N"
"R3T621TI8ZPHKS",1,123,152,"Y","N"
"R3VRUML02QB659",1,32,34,"Y","N"
"R3RLHMVJA62W8M",4,37,44,"Y","N"
"R24OGR6B1D8JQL",2,18,20,"Y","N"
"R2Z5AWFSXIZEYN",5,64,70,"Y","N"
"R39IHYTIR8S03C",4,29,36,"Y","N"
"R27E0J9TRS0TE",4,22,24,"Y","N"
"R2I31FHEWYCVJ",3,123,125,"Y","N"
"R2RTT9V9FALNU3",5,19,22,"Y","N"
"R2TXJ25AXCSKXK",4,39,40,"Y","N"
"R26RUBA4LJDO6O",5,32,34,"Y","N"
"R292WUB5NRHEAG",5,30,38,"Y","N"
"R2N1IX53277EBY",5,17,22,"Y","N"
"R2ZTU0FEJBQXE7",1,31,42,"Y","N"
"R1PZPI2GELGHCU",5,47,53,"Y","N"
"R2G965AP9Q5P4J",5,21,23,"Y","N"
"R2CUJVJS44O1Y7",1,23,29,"Y","N"
"R20L9APBOOPMNC",3,20,28,"Y","N"
"R3J62G4BFHWOLJ",4,30,31,"Y","N"
"R3B84U4LI30LIQ",3,24,27,"Y","N"
"R366NWJD7RK9EP",4,33,37,"Y","N"
"R30IWXU9RENY1Y",3,15,24,"Y","N"
"R19EG2VXBIWLBS",4,13,21,"Y","N"
"RLDK4N2E5SXRW",4,37,38,"Y","N"
"RE1VUG1GHTQYP",4,22,26,"Y","N"
"R354Z6LHDF3XMO",5,37,40,"Y","N"
"R1HAVGFU4QGLI7",1,15,21,"Y","N"
"R3D4YU82OM4OUK",4,34,34,"Y","N"
"R13ZO6FYN1B76K",2,16,23,"Y","N"
"RP864VB3E94JN",5,19,21,"Y","N"
"R1Y0S1XVN156RY",4,29,41,"Y","N"
